Director,Count
Peter Jackson,7
Steven Spielberg,7
Ridley Scott,5
Robert Zemeckis,4
Stanley Kubrick,3
David Yates,3
George Lucas,3
Wes Anderson,3
Christopher Nolan,3
Matthew Vaughn,3
"Anthony Russo, Joe Russo",2
Luc Besson,2
Stephen Sommers,2
David Lean,2
John Sturges,2
Ang Lee,2
Edward Zwick,1
George Miller,1
Sam Peckinpah,1
J.J. Abrams,1
Kevin Costner,1
Sam Raimi,1
Brian De Palma,1
John Hillcoat,1
Michael Mann,1
Kevin Reynolds,1
Gore Verbinski,1
Guy Ritchie,1
"Joel Coen, Ethan Coen",1
Andrew Adamson,1
"Ethan Coen, Joel Coen",1
Chris Columbus,1
Martin Scorsese,1
Gary Ross,1
John Woo,1
"Terry Gilliam, Terry Jones",1
Tim Burton,1
Ryan Coogler,1
Quentin Tarantino,1
John McTiernan,1
James Gunn,1
Ruben Fleischer,1
Alejandro G. Iñárritu,1
Taika Waititi,1
Christopher McQuarrie,1
Mel Gibson,1
Wolfgang Petersen,1
Danny Boyle,1
Jan de Bont,1
Sean Penn,1
Richard Marquand,1
James Cameron,1
Martin Campbell,1
Tim Miller,1
Irvin Kershner,1
Jon Favreau,1
Frank Marshall,1
John Ford,1
Scott Derrickson,1
Joe Johnston,1
Patty Jenkins,1
Alfred Hitchcock,1
Guillermo del Toro,1
